2026-04-23 13:34:59 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x10d77af20>
2026-04-23 13:34:59 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x10d77af20> completed
2026-04-23 13:34:59 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x10d746f20>, '\n                INSERT INTO downloads (user_id, link, media_type, status, created_at)\n                VALUES (?, ?, ?, ?, ?)\n            ', (8547738683, 'https://instagram.com/p/ABC123/', 'unknown', 'failed', '2026-04-23T08:34:59.548568'))
2026-04-23 13:34:59 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x10d746f20>, '\n                INSERT INTO downloads (user_id, link, media_type, status, created_at)\n                VALUES (?, ?, ?, ?, ?)\n            ', (8547738683, 'https://instagram.com/p/ABC123/', 'unknown', 'failed', '2026-04-23T08:34:59.548568')) completed
2026-04-23 13:34:59 | DEBUG    | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x10d746f20>)
2026-04-23 13:34:59 | DEBUG    | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x10d746f20>) completed
2026-04-23 13:34:59 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Connection object at 0x10d746f20>)
2026-04-23 13:34:59 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Connection object at 0x10d746f20>) completed
2026-04-23 13:35:39 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x10d77ab60>
2026-04-23 13:35:39 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x10d77ab60> completed
2026-04-23 13:35:39 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x10d746f20>, '\n                INSERT INTO users (user_id, username, first_name, joined_at)\n                VALUES (?, ?, ?, ?)\n                ON CONFLICT(user_id) DO UPDATE SET\n                    username   = excluded.username,\n                    first_name = excluded.first_name\n            ', (8547738683, 'geodev_at', 'Kudratbekh', '2026-04-23T08:35:39.205669'))
2026-04-23 13:35:39 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x10d746f20>, '\n                INSERT INTO users (user_id, username, first_name, joined_at)\n                VALUES (?, ?, ?, ?)\n                ON CONFLICT(user_id) DO UPDATE SET\n                    username   = excluded.username,\n                    first_name = excluded.first_name\n            ', (8547738683, 'geodev_at', 'Kudratbekh', '2026-04-23T08:35:39.205669')) completed
2026-04-23 13:35:39 | DEBUG    | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x10d746f20>)
2026-04-23 13:35:39 | DEBUG    | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x10d746f20>) completed
2026-04-23 13:35:39 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Connection object at 0x10d746f20>)
2026-04-23 13:35:39 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Connection object at 0x10d746f20>) completed
2026-04-23 13:35:41 | [31mERROR   [0m | bot.services.sender | Failed to send 4f1fd6415674_00001.mp4: 1 validation error for SendVideo
duration
  Input should be a valid integer, got a number with a fractional part [type=int_from_float, input_value=37.617, input_type=float]
    For further information visit https://errors.pydantic.dev/2.9/v/int_from_float
2026-04-23 13:35:41 | DEBUG    | bot.utils.cleanup | 🗑  Deleted temp file: /tmp/instabot/4f1fd6415674_00001.mp4
2026-04-23 13:35:41 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x10d77ab60>
2026-04-23 13:35:41 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x10d77ab60> completed
2026-04-23 13:35:41 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x10d7454e0>, '\n                INSERT INTO downloads (user_id, link, media_type, status, created_at)\n                VALUES (?, ?, ?, ?, ?)\n            ', (8547738683, 'https://www.instagram.com/reel/DXdvhDMDa65/', 'unknown', 'failed', '2026-04-23T08:35:41.774800'))
